0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0.035035,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.010987,0,0,32753,0,0,0,0,1
0.03559,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.006409,0.004578,0.001007,32756,0,0,0,0,1
0.041921,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.009156,0.001831,0.001007,32754,0,0,0,0,1
0.047147,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.011902,0,0.001007,32754,0,0,0,0,1
0.049603,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.001831,0.009156,0.001007,32763,0,0,0,0,1
0.05637,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.010987,0,0.001007,32753,0,0,0,0,1
0.059389,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.019227,-0.006409,0.001007,32747,0,0,0,0,1
0.062077,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.009156,0.001831,0.001007,32756,0,0,0,0,1
0.065318,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.010987,0,0.001007,32754,0,0,0,0,1
0.069925,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.013733,-0.000916,0.001007,32752,0,0,0,0,1
0.074689,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.007324,0.003662,0.001007,32758,0,0,0,0,1
0.079421,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.012818,0,0.001007,32753,0,0,0,0,1
0.082852,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.010987,0,0.001007,32755,0,0,0,0,1
0.086946,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.017396,-0.004578,0.001007,32751,0,0,0,0,1
0.089405,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.007324,0.003662,0.001007,32755,0,0,0,0,1
0.093975,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.005493,0.005493,0.001007,32758,0,0,0,0,1
0.102089,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.013733,-0.000916,0.001007,32750,0,0,0,0,1
0.104514,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.00824,0.002747,0.001007,32758,0,0,0,0,1
0.110171,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.011902,0,0.001007,32755,0,0,0,0,1
0.113951,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.007324,0.003662,0.001007,32758,0,0,0,0,1
0.123137,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.012818,0,0.001007,32755,0,0,0,0,1
0.133796,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.00824,0.002747,0.001007,32756,0,0,0,0,1
0.137454,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.012818,0,0.001007,32753,0,0,0,0,1
0.139921,>23|01:198.402,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.9919,0.58,-0.67,-0.3,23.2,99.84,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<62,-0.011902,0,0.001007,32754,0,0,0,0,1
0.141979,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.011902,0,0.001007,32754,0,0,0,0,1
0.14243,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.006409,0.004578,0.001154,32758,0,0,0,0,1
0.153943,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.006409,0.004578,0.001154,32758,0,0,0,0,1
0.1619,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.006409,0.004578,0.001154,32758,0,0,0,0,1
0.169917,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.010987,0,0.001154,32752,0,0,0,0,1
0.173582,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.010987,0,0.001154,32755,0,0,0,0,1
0.179416,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.009156,0.001831,0.001154,32757,0,0,0,0,1
0.18594,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.013733,-0.000916,0.001154,32751,0,0,0,0,1
0.188342,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.00824,0.002747,0.001154,32757,0,0,0,0,1
0.193192,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.005493,0.005493,0.001154,32759,0,0,0,0,1
0.198096,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.010071,0.000916,0.001154,32756,0,0,0,0,1
0.202714,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.011902,0,0.001154,32754,0,0,0,0,1
0.205102,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.010071,0.000916,0.001154,32754,0,0,0,0,1
0.209916,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.012818,0,0.001154,32753,0,0,0,0,1
0.214061,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.013733,-0.000916,0.001154,32751,0,0,0,0,1
0.218242,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.010987,0,0.001154,32756,0,0,0,0,1
0.221897,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.010071,0.000916,0.001154,32756,0,0,0,0,1
0.22991,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.00824,0.002747,0.001154,32755,0,0,0,0,1
0.232342,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.006409,0.004578,0.001154,32757,0,0,0,0,1
0.237895,>23|01:198.502,29.997,0.021,0.7,124,0,0,0,124,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1832,-0.0583,0.992,0.6,-0.65,-0.28,23.24,100.24,9.94,2.997,27.6,-0.2,-0.2,197.557,7,11.3,10.7<56,-0.011902,0,0.001154,32755,0,0,0,0,1
